Ticker,ABNB
CurrentPrice,133.0
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:51:14

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
55.0,1,1,33,2
60.0,1,2,15,2
65.0,1,2,44,13
70.0,46,2,26,2
75.0,3,2,2963,1
80.0,23,4,171,3
85.0,28,8,942,2
90.0,31,2,978,8
95.0,39,2,378,7
100.0,113,4,3581,1
105.0,36,3,2826,17
110.0,170,2,1755,4
111.0,0,0,4,1
112.0,0,4,103,2
113.0,4,2,6,4
114.0,2,1,5,3
115.0,224,8,3987,72
116.0,0,0,12,6
117.0,0,0,296,2
118.0,0,0,146,2
119.0,0,0,70,13
120.0,398,11,4897,51
121.0,16,5,95,22
122.0,2,0,528,77
123.0,81,1,250,7
124.0,91,18,118,1
125.0,1338,2,2391,15
126.0,21,7,176,10
127.0,68,10,51,7
128.0,127,3,112,13
129.0,82,50,86,4
130.0,2004,83,1375,2
131.0,1237,4,158,11
132.0,232,12,249,21
133.0,176,17,64,135
134.0,893,7,50,37
135.0,2917,44,920,42
136.0,130,43,35,1
137.0,204,152,168,2
138.0,537,78,24,6
139.0,246,2,6,4
140.0,5462,71,365,16
141.0,61,7,0,0
142.0,83,1,0,0
143.0,22,1,0,0
144.0,42,3,0,0
145.0,1346,47,22,180
146.0,1,0,0,0
150.0,2056,5,5,146
155.0,536,4,0,6
160.0,921,10,200,146
165.0,1064,1,0,180
170.0,333,2,0,2
175.0,553,28,0,4
180.0,1013,30,0,1
185.0,563,11,0,1
190.0,190,1,0,1
195.0,118,4,0,0
200.0,430,11,0,0
210.0,117,18,0,0
220.0,102,1,0,0
230.0,53,2,0,0
240.0,246,5,0,0
