Ticker,AMAT
CurrentPrice,354.5498
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:28

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
65.0,3,1,51,40
70.0,10,0,96,11
75.0,0,1,241,8
80.0,6,1,218,10
85.0,5,5,336,1
90.0,0,1,135,2
95.0,1,1,623,1
100.0,45,36,298,29
105.0,2,1,514,2
110.0,1,1,633,1
115.0,15,6,597,12
120.0,15,3,783,7
125.0,3,2,800,1
130.0,54,2,955,40
135.0,60,1,1276,10
140.0,47,1,1711,49
145.0,96,1,1325,41
150.0,133,1,5991,22
155.0,170,4,1123,1
160.0,456,1,1787,1
165.0,283,10,1659,10
170.0,268,3,3236,1
175.0,479,2,1670,1
180.0,1475,5,943,40
185.0,553,3,742,2
190.0,601,1,969,1
195.0,437,1,1190,1
200.0,537,3,3724,2
210.0,1547,1,994,3
220.0,936,11,1008,1
230.0,863,1,1789,10
240.0,993,1,1446,16
250.0,1413,2,791,22
260.0,781,1,1258,2
270.0,1094,3,1767,307
272.5,0,0,13,8
275.0,0,0,15,5
277.5,0,0,17,7
280.0,893,4,2157,15
282.5,0,0,6,6
285.0,0,0,34,2
287.5,0,0,9,22
290.0,1493,22,3326,59
292.5,0,0,6,4
295.0,40,1,197,4
297.5,0,0,18,11
300.0,1702,19,2602,64
302.5,0,0,63,1
305.0,16,34,942,6
307.5,5,0,27,26
310.0,595,2,984,59
312.5,4,4,65,40
315.0,36,4,1061,14
317.5,23,5,108,1
320.0,659,4,1850,83
322.5,26,0,68,2
325.0,36,10,598,63
327.5,6,2,75,43
330.0,856,26,970,33
332.5,98,1,56,8
335.0,54,2,310,27
337.5,29,11,83,3
340.0,795,20,2511,64
342.5,418,34,43,7
345.0,83,4,363,88
347.5,164,1,10,16
350.0,1564,83,2684,12
352.5,190,29,116,30
355.0,239,101,140,6
357.5,197,74,93,3
360.0,2750,182,626,4
362.5,556,11,61,2
365.0,682,264,983,1
367.5,281,6,33,1
370.0,914,59,416,2
372.5,502,4,5,1
375.0,435,14,160,1
377.5,684,15,44,1
380.0,3642,26,464,1
382.5,352,1,5,1
385.0,243,23,15,1
387.5,226,2,28,1
390.0,1296,36,201,2
392.5,178,8,23,4
395.0,178,1,22,1
397.5,97,2,6,1
400.0,1584,94,79,3
402.5,26,6,0,0
405.0,1330,6,10,10
407.5,27,2,0,0
410.0,1541,8,114,300
415.0,271,1,0,0
420.0,1670,8,0,0
425.0,25,100,0,2
430.0,135,3,0,3
435.0,78,2,0,0
440.0,946,1,0,2
445.0,21,20,0,0
450.0,1408,5,0,0
455.0,15,10,0,0
460.0,1973,1,0,0
465.0,9,9,0,0
470.0,65,26,0,0
480.0,189,1,0,1
490.0,87,3,0,4
500.0,4672,1,0,0
