Ticker,CMCSA
CurrentPrice,28.865
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:50:47

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
15.0,3,1,1,0
17.5,4,1,340,10
20.0,9,2,4,1
21.0,9,2,2,2
22.5,5,1,34,6
24.0,25,2,3114,50
25.0,170,130,4169,18
25.5,1,0,1,0
26.0,13,2,1636,15
26.5,0,0,76,1
27.0,0,0,162,1
27.5,246,36,7133,29
28.0,0,0,111,10
28.5,0,0,154,13
29.0,1337,28,4158,192
29.5,5,67,273,1057
30.0,7102,470,4371,102
30.5,1342,58,251,8
31.0,5424,271,3434,9
31.5,1666,1,256,29
32.0,1664,12,51,2
32.5,22374,17,258,6
33.0,439,1,1,2
33.5,1113,34,4,2
34.0,14442,6,83,90
34.5,35,1,0,0
35.0,6499,1,3,1
36.0,290,5,0,0
37.0,1,0,0,0
37.5,78,2,2,2
38.0,0,0,0,3
40.0,5,1,0,10
42.5,644,1,254,0
45.0,465,3,224,1
47.5,293,1,3,0
50.0,65,1,0,0
55.0,1495,1,0,4
