Ticker,TTWO
CurrentPrice,205.65
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:52:43

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
95.0,2,1,4,1
100.0,8,8,5,1
105.0,0,0,2,1
110.0,0,0,4,1
115.0,0,0,8,1
120.0,0,0,54,40
125.0,0,0,5,5
130.0,0,0,17,2
135.0,0,0,72,2
140.0,1,1,5,1
145.0,1,0,2,1
150.0,6,1,43,1
155.0,4,4,13,1
160.0,5,4,1153,2
165.0,8,2,88,5
170.0,23,1,319,3
175.0,4,7,328,1
177.5,0,0,6,1
180.0,29,2,865,2
182.5,1,0,2,0
185.0,10,6,499,13
187.5,1,0,11,2
190.0,40,2,1049,4
192.5,0,0,16,2
195.0,132,1,617,13
197.5,19,0,33,3
200.0,469,1,1014,311
202.5,22,1,74,1
205.0,35,1,94,3
207.5,20,5,72,4
210.0,1720,3,1009,11
212.5,270,13,63,1
215.0,250,32,91,15
217.5,63,2,64,7
220.0,2593,2,666,7
222.5,329,1,3,0
225.0,127,1,0,0
227.5,1025,1,0,0
230.0,2254,1,253,10
235.0,30,1,0,0
240.0,2337,4,96,380
245.0,6,1,0,0
250.0,982,2,78,140
260.0,779,1,39,240
270.0,368,5,0,100
280.0,366,1,0,1
290.0,638,1,0,1
300.0,358,22,0,4
310.0,788,5,2,2
320.0,276,1,1,1
330.0,55,3,0,0
340.0,180,6,0,0
350.0,105,8,0,0
360.0,596,17,0,0
370.0,11,1,0,0
380.0,1,0,0,0
390.0,12,1,0,0
