Ticker,ZS
CurrentPrice,157.0
ExpirationDate,2026-03-20
DownloadTimestamp,2026-03-18 17:52:28

Strike,Call_OI,Call_Volume,Put_OI,Put_Volume
75.0,2,2,2,0
80.0,0,0,4,0
85.0,1,1,134,20
90.0,1,1,17,1
95.0,0,0,44,5
100.0,38,25,174,2
105.0,0,0,72,1
110.0,1,4,143,1
115.0,8,3,288,267
120.0,10,8,1841,5
125.0,4,1,213,2
126.0,0,0,2,0
127.0,0,0,11,14
128.0,0,0,21,14
129.0,0,0,10,1
130.0,51,25,392,5
131.0,0,0,12,0
132.0,0,0,10,0
133.0,0,0,12,1
134.0,0,0,18,2
135.0,36,4,475,24
136.0,0,0,57,2
137.0,0,0,37,10
138.0,0,0,90,6
139.0,0,0,70,1
140.0,51,3,1386,12
141.0,2,2,501,4
142.0,24,1,362,14
143.0,9,1,107,4
144.0,73,1,187,8
145.0,185,1,650,18
146.0,156,1,200,22
147.0,26,2,98,30
148.0,23,3,165,21
149.0,30,1,60,10
150.0,281,5,1107,62
152.5,215,24,435,35
155.0,284,8,478,11
157.5,218,27,376,6
160.0,1856,160,555,45
162.5,788,48,118,4
165.0,622,43,481,49
167.5,373,20,6,3
170.0,504,28,673,2
172.5,304,4,6,1
175.0,443,2,195,6
177.5,124,31,2,32
180.0,1120,12,108,2
182.5,57,2,0,0
185.0,229,4,237,322
187.5,19,1,0,0
190.0,338,1,5,15
192.5,8,1,0,0
195.0,255,2,2,30
200.0,2084,19,121,2
205.0,24,8,0,0
210.0,1049,30,2,210
215.0,53,30,0,2
220.0,800,6,49,410
225.0,19,1,0,0
230.0,835,36,139,1200
240.0,964,50,87,620
250.0,1149,1,249,1760
260.0,849,5,387,2795
270.0,291,7,1521,11580
280.0,702,1,1,1
290.0,689,27,215,1585
300.0,1807,6,633,4720
310.0,389,1,0,32
320.0,272,1,0,1
330.0,265,10,0,2
340.0,100,6,0,1
350.0,391,14,0,4
360.0,316,1,6,6
370.0,728,1,0,1
380.0,332,27,0,1
390.0,1297,1,1,1
400.0,1206,11,3,4
410.0,173,11,0,0
420.0,192,1,0,0
430.0,212,17,0,0
440.0,324,18,0,0
450.0,156,1,0,0
460.0,180,3,0,0
470.0,48,1,0,0
480.0,12,1,0,0
